library,function,address
"WINMM.DLL","timeEndPeriod","141aae57c"
"WINMM.DLL","timeKillEvent","141aae584"
"WINMM.DLL","timeBeginPeriod","141aae58c"
"WINMM.DLL","timeSetEvent","140fed210"
"WINMM.DLL","timeGetTime","141aae59c"
"STEAM_API64.DLL","SteamAPI_RegisterCallback","141aaea94"
"STEAM_API64.DLL","SteamAPI_UnregisterCallback","141aaea9c"
"STEAM_API64.DLL","SteamApps","141aaeaa4"
"STEAM_API64.DLL","SteamUser","141aaeaac"
"STEAM_API64.DLL","SteamUserStats","141aaeab4"
"STEAM_API64.DLL","SteamAPI_RunCallbacks","141aaeabc"
"STEAM_API64.DLL","SteamUtils","141aaeac4"
"STEAM_API64.DLL","SteamAPI_Init","141aaeacc"
"STEAM_API64.DLL","SteamAPI_RestartAppIfNecessary","141aaead4"
"STEAM_API64.DLL","SteamAPI_Shutdown","141aaeadc"
"STEAM_API64.DLL","SteamAPI_UnregisterCallResult","141aaeae4"
"STEAM_API64.DLL","SteamAPI_RegisterCallResult","141aaeaec"
"STEAM_API64.DLL","SteamNetworking","141aaeaf4"
"STEAM_API64.DLL","SteamMatchmaking","141aaeafc"
"STEAM_API64.DLL","SteamClient","141aaeb04"
"STEAM_API64.DLL","SteamFriends","141aaeb0c"
"WS2_32.DLL","setsockopt","141aae5ac"
"WS2_32.DLL","htons","141aae5b4"
"WS2_32.DLL","inet_addr","141aae5bc"
"WS2_32.DLL","inet_ntoa","141aae5c4"
"WS2_32.DLL","ntohs","141aae5cc"
"WS2_32.DLL","gethostbyaddr","141aae5d4"
"WS2_32.DLL","gethostbyname","141aae5dc"
"WS2_32.DLL","getservbyport","141aae5e4"
"WS2_32.DLL","getservbyname","141aae5ec"
"WS2_32.DLL","WSASetLastError","141aae5f4"
"WS2_32.DLL","WSAGetLastError","141aae5fc"
"WS2_32.DLL","WSAStartup","141aae604"
"WS2_32.DLL","WSACleanup","141aae60c"
"WS2_32.DLL","gethostname","141aae614"
"WS2_32.DLL","closesocket","141aae61c"
"WS2_32.DLL","connect","141aae624"
"WS2_32.DLL","ioctlsocket","141aae62c"
"WS2_32.DLL","getpeername","141aae634"
"WS2_32.DLL","getsockname","141aae63c"
"WS2_32.DLL","WSAResetEvent","141aae644"
"WS2_32.DLL","getaddrinfo","141aae64c"
"WS2_32.DLL","freeaddrinfo","141aae654"
"WS2_32.DLL","select","141aae65c"
"WS2_32.DLL","__WSAFDIsSet","140eff2e0"
"WS2_32.DLL","WSAAsyncSelect","141aae66c"
"WS2_32.DLL","getsockopt","141aae674"
"WS2_32.DLL","recv","141aae67c"
"WS2_32.DLL","send","141aae684"
"WS2_32.DLL","shutdown","141aae68c"
"WS2_32.DLL","WSACloseEvent","141aae694"
"WS2_32.DLL","WSACreateEvent","141aae69c"
"WS2_32.DLL","WSAEventSelect","141aae6a4"
"WS2_32.DLL","WSASocketW","141aae6ac"
"WS2_32.DLL","accept","141aae6b4"
"WS2_32.DLL","bind","141aae6bc"
"WS2_32.DLL","listen","141aae6c4"
"WS2_32.DLL","WSAEnumNetworkEvents","141aae6cc"
"WS2_32.DLL","socket","141aae6d4"
"WS2_32.DLL","WSAWaitForMultipleEvents","141aae6dc"
"WS2_32.DLL","recvfrom","141aae6e4"
"WS2_32.DLL","sendto","141aae6ec"
"WS2_32.DLL","WSASetEvent","141aae6f4"
"WS2_32.DLL","htonl","141aae6fc"
"Sound","release","140a017d8"
"System","createSound","140a017cc"
"FMODEX64.DLL","FMOD_Memory_Initialize","1409fd34e"
"ChannelGroup","getDSPHead","140a04b80"
"DSP","addInput","140a04b86"
"DSP","disconnectFrom","140a04b8c"
"DSP","disconnectAll","140a04b92"
"DSP","getNumInputs","140a04b98"
"DSP","getInput","140a04b9e"
"DSP","getOutput","140a04ba4"
"DSPConnection","setMix","140a04baa"
"FMODEX64.DLL","FMOD_Debug_SetLevel","1409fd354"
"System","setOutput","1409fd35a"
"System","getNumDrivers","1409fd360"
"System","getDriverCaps","1409fd366"
"System","setSoftwareFormat","1409fd36c"
"System","getSoftwareFormat","1409fd372"
"System","setDSPBufferSize","1409fd378"
"System","setFileSystem","1409fd37e"
"System","setAdvancedSettings","1409fd384"
"System","setSpeakerMode","1409fd38a"
"System","getSpeakerMode","1409fd390"
"System","setStreamBufferSize","1409fd396"
"System","getOutputHandle","1409fd39c"
"System","createChannelGroup","1409fd3a2"
"System","getMasterChannelGroup","1409fd3a8"
"Sound","getSubSound","1409fd3ae"
"Sound","getOpenState","1409fd3b4"
"ChannelGroup","release","1409fd3ba"
"ChannelGroup","setVolume","1409fd3c0"
"ChannelGroup","addGroup","1409fd3c6"
"Channel","setPosition","140a05312"
"Channel","getCurrentSound","140a05318"
"ChannelGroup","getNumChannels","140a0531e"
"ChannelGroup","getChannel","140a05324"
"DSPConnection","setLevels","140a0532a"
"ChannelGroup","getNumGroups","140a054b6"
"DSP","getInfo","140a054bc"
"System","FS_convertMultiChannelLevelToSpeakerLevel","140a054c2"
"Channel","setSpeakerLevels","140a054c8"
"System","createDSP","140a054ce"
"System","playDSP","140a054d4"
"Channel","setVolume","140a054da"
"Channel","setFrequency","140a054e0"
"DSP","release","140a054e6"
"System","createStream","140a017d2"
"DSP","getUserData","140a054ec"
"Event","setCallback","140a04bce"
"Event","getChannelGroup","140a04bc8"
"Event","getState","140a04bc2"
"Event","stop","140a04bbc"
"Event","start","140a04bb6"
"EventSystem","get3DListenerAttributes","140a04bb0"
"EventSystem","unloadFSB","140a017ea"
"EventSystem","preloadFSB","140a017e4"
"Event","set3DAttributes","140a04c04"
"EventParameter","setValue","140a04c0a"
"EventParameter","getValue","140a04c10"
"EventSystem","set3DNumListeners","140a04d40"
"EventSystem","set3DListenerAttributes","140a04d46"
