name,address,namespace,xref_count
"s_PointCloud_Scale_%d_1410ad710","1410ad710","Global",1
"s_PointCloud_Scale_%d_Slot1_1410ad740","1410ad740","Global",1
"s_PointCloud_Scale_%d_Slot2_1410ad780","1410ad780","Global",1
"s_PointCloud_Scale_%d_Slot3_1410ad7c0","1410ad7c0","Global",1
"s_GI_Color_Scale_%d_1410ad800","1410ad800","Global",1
"s_MapGeneralPhantomLocation_1410c8db0","1410c8db0","Global",2
"u_MapGeneralPhantomLocation_1410c8dd0","1410c8dd0","Global",2
"u_NpcPhantom_c%06d_1410e17f8","1410e17f8","Global",1
"u_Boss_c%d_1410e1860","1410e1860","Global",1
"u_NpcPhantom_c%d_1410e1878","1410e1878","Global",1
"u_param:/MapObjectChrSpeedScalePar_1410e8050","1410e8050","Global",1
"s_MapPhantomComponent_1410eb700","1410eb700","Global",2
"u_MapPhantomComponent_1410eb718","1410eb718","Global",2
"s_GameEntityPhantomEventNotifyInte_1410ee698","1410ee698","Global",2
"u_GameEntityPhantomEventNotifyInte_1410ee6c0","1410ee6c0","Global",2
"u_ChrCommonParam_1410f1508","1410f1508","Global",2
"u_EnemyParam_1410f1570","1410f1570","Global",2
"u_ChrEditParamBodyScale_1410f1c68","1410f1c68","Global",2
"u_BossParam_1410f1d78","1410f1d78","Global",2
"u_BossPartsParam_1410f1d90","1410f1d90","Global",2
"u_BossPartsModelParam_1410f1db0","1410f1db0","Global",2
"u_BossEnemyGenerateParam_1410f1dd8","1410f1dd8","Global",2
"u_PlayerStatusParam_1410f1f40","1410f1f40","Global",2
"u_NpcPlayerStatusParam_1410f1f98","1410f1f98","Global",2
"u_ChrNetworkPhantomParam_1410f2080","1410f2080","Global",2
"u_ChrNetworkPhantomSoulRateParam_1410f20b0","1410f20b0","Global",2
"u_EnemyDamageParam_1410f22a0","1410f22a0","Global",2
"u_param:/BossBattleParam.param_1410f3460","1410f3460","Global",1
"u_param:/ChrPhantomParam.param_1410f3c80","1410f3c80","Global",1
"u_CompositeScaleRenderBilatelalUpS_1410f5860","1410f5860","Global",1
"u_Scale_1410febb8","1410febb8","Global",1
"u_Scale_:_x%.2f_141101b18","141101b18","Global",1
"u_FreeScale_141101b50","141101b50","Global",1
"s_TaskScaleCharacterTransforms_141107918","141107918","Global",1
"s_TaskScaleCharacterDeltaTransform_141107938","141107938","Global",1
"s_TaskScaleCharacterDeltaAndTransf_141107960","141107960","Global",1
"s_TaskScaleUpdateTime_141107b78","141107b78","Global",1
"s_TaskScaleUpdateSyncEventTrack_141107b90","141107b90","Global",1
"s_TaskScaleToDuration_141107bb0","141107bb0","Global",1
"s_TaskScaleToDurationSyncEventTrac_141107bc8","141107bc8","Global",1
"s_nodeScaleCharacterQueueUpdateTra_141109a10","141109a10","Global",1
"s_nodeScaleCharacterQueueTrajector_141109a38","141109a38","Global",1
"s_nodeScaleCharacterQueueTrajector_141109a68","141109a68","Global",1
"s_nodeScaleToDurationQueueUpdateTi_141109cc0","141109cc0","Global",1
"s_nodeScaleToDurationQueueSyncEven_141109ce8","141109ce8","Global",1
"s_nodeScaleCharacterUpdateConnecti_14110b1f8","14110b1f8","Global",1
"s_nodeScaleCharacterMessageHandler_14110b860","14110b860","Global",1
"s_ATTRIB_TYPE_SCALECHARACTER_STATE_14110c488","14110c488","Global",1
"s_LtUpdateFilterOnPhantom_1411254d8","1411254d8","Global",2
"s_Stphantom_141125550","141125550","Global",2
"s_TtrcPhantom_1411277c8","1411277c8","Global",4
"s_TthkpAabbPhantom::linearCast_1411277d8","1411277d8","Global",2
"s_hkcdShapeType::PHANTOM_CALLBACK_141128e78","141128e78","Global",1
"u_XactDistanceScaler_1411809e8","1411809e8","Global",1
"u_Shader\CompositeScaleRender.fpo_1411d5eb0","1411d5eb0","Global",1
"u_DepthScale2x2_ConvertLinear.fpo_1411dfc90","1411dfc90","Global",3
"u_DepthScale2x2_Max.fpo_1411dfd00","1411dfd00","Global",2
"u_DepthScale2x2.fpo_1411dfd30","1411dfd30","Global",2
"u_SSAO_DepthScale2x2_Direct.fpo_1411dfe90","1411dfe90","Global",2
"u_SSAO_NormalScale2x2.fpo_1411dfed0","1411dfed0","Global",2
"u_ScreenSpaceAO2_BilateralUpScale._1411e0040","1411e0040","Global",1
"u_DepthScale2x2OutputDepth.fpo_1411e0638","1411e0638","Global",1
"u_GrayScale_1411e06c0","1411e06c0","Global",2
"u_ToneMap_ScaleLuminance.fpo_1411e0878","1411e0878","Global",2
"u_ToneMap_BrightPassAndScale.fpo_1411e0ba8","1411e0ba8","Global",2
"s_Scaler_1411e0ef0","1411e0ef0","Global",1
"s_Frpg2PlayerData.PhantomTypeCount_14120e490","14120e490","Global",1
"s_phantoms_14122b530","14122b530","Global",2
"s_damageMultiplier_14122d828","14122d828","Global",1
"s_hkpSimpleShapePhantomCollisionDe_14122e2d0","14122e2d0","Global",2
"s_!hkpSimpleShapePhantom::Collisio_14122e2f8","14122e2f8","Global",1
"s_hkpSimpleShapePhantom_14122e320","14122e320","Global",2
"s_!hkpSimpleShapePhantom_14122e338","14122e338","Global",1
"s_hkpPhantom_14122e9d0","14122e9d0","Global",1
"s_hkpShapePhantom_14122f390","14122f390","Global",1
"s_hkpAabbPhantom_14122f4a8","14122f4a8","Global",2
"s_!hkpAabbPhantom_14122f4b8","14122f4b8","Global",1
"s_hkpCachingShapePhantom_14122f7a8","14122f7a8","Global",2
"s_!hkpCachingShapePhantom_14122f7c0","14122f7c0","Global",1
"s_hkpPhantomCallbackShape_1412355d0","1412355d0","Global",1
"s_shapePhantom_141248600","141248600","Global",1
"s_Phantoms_14124daf8","14124daf8","Global",1
"s_Reference_Scales:_141252e88","141252e88","Global",1
"s_Static_Scales:_141252ef8","141252ef8","Global",1
"s_Dynamic_Scales:_141252f58","141252f58","Global",1
"PTR_s_The_position_difference_is_scale_141253908","141253908","Global",1
"s_The_position_difference_is_scale_1412541b0","1412541b0","Global",1
"PTR_s_ScaleNormalBehaviour_1412577a8","1412577a8","Global",4
"s_ScaleNormalBehaviour_141257818","141257818","Global",3
"PTR_s_ScaleNormalBehaviour_141257ac0","141257ac0","Global",4
"PTR_s_ScaleNormalBehaviour_14125c640","14125c640","Global",4
"PTR_s_offsetAndScale_141266460","141266460","Global",2
"s_offsetAndScale_141266578","141266578","Global",1
"PTR_s_hkpSimpleShapePhantomCollisionDe_1415ebcd0","1415ebcd0","Global",1
